detail_id,order_id,product_id,quantity,unit_price,discount_rate,line_total
DTL000079,ORD00021,PRD001,1,39865,0,39865
DTL000090,ORD00024,PRD001,3,39865,0.04234417344173442,114530
DTL000128,ORD00033,PRD001,1,39865,0,39865
DTL000145,ORD00039,PRD001,4,39865,0,159460
DTL000150,ORD00040,PRD001,1,39865,0,39865
DTL000159,ORD00043,PRD001,2,39865,0,79730
DTL000173,ORD00046,PRD001,1,39865,0,39865
DTL000179,ORD00048,PRD001,5,39865,0,199325
DTL000215,ORD00056,PRD001,1,39865,0,39865
DTL000241,ORD00064,PRD001,2,39865,0.05815080441946113,75093
DTL000246,ORD00065,PRD001,3,39865,0,119595
DTL000291,ORD00080,PRD001,1,39865,0,39865
DTL000303,ORD00083,PRD001,3,39865,0,119595
DTL000327,ORD00089,PRD001,1,39865,0,39865
DTL000381,ORD00103,PRD001,1,39865,0.1234821979831241,34942
DTL000382,ORD00103,PRD001,2,39865,0,79730
DTL000419,ORD00111,PRD001,1,39865,0,39865
DTL000468,ORD00124,PRD001,1,39865,0,39865
DTL000472,ORD00125,PRD001,2,39865,0,79730
DTL000493,ORD00131,PRD001,2,39865,0,79730
DTL000497,ORD00132,PRD001,1,39865,0,39865
DTL000502,ORD00134,PRD001,2,39865,0,79730
DTL000536,ORD00141,PRD001,2,39865,0,79730
DTL000564,ORD00149,PRD001,1,39865,0.22426553038797936,30924
DTL000575,ORD00151,PRD001,2,39865,0.10082677959265982,71691
DTL000576,ORD00152,PRD001,3,39865,0.061061244428161444,112292
DTL000638,ORD00167,PRD001,2,39865,0,79730
DTL000641,ORD00168,PRD001,2,39865,0,79730
DTL000690,ORD00180,PRD001,2,39865,0.038030043734550295,76697
DTL000695,ORD00181,PRD001,1,39865,0,39865
DTL000696,ORD00181,PRD001,3,39865,0,119595
DTL000702,ORD00182,PRD001,2,39865,0,79730
DTL000704,ORD00182,PRD001,2,39865,0.05815080441946113,75093
DTL000742,ORD00193,PRD001,5,39865,0,199325
DTL000749,ORD00195,PRD001,5,39865,0,199325
DTL000786,ORD00205,PRD001,4,39865,0,159460
DTL000817,ORD00213,PRD001,1,39865,0,39865
DTL000841,ORD00220,PRD001,1,39865,0.0790670092903736,36712
DTL000877,ORD00230,PRD001,1,39865,0.22426553038797936,30924
DTL000928,ORD00242,PRD001,1,39865,0.0790670092903736,36712
DTL000950,ORD00248,PRD001,3,39865,0,119595
DTL000968,ORD00252,PRD001,1,39865,0,39865
DTL000983,ORD00256,PRD001,2,39865,0,79730
DTL001007,ORD00262,PRD001,4,39865,0.018660197798096658,156484
DTL001027,ORD00268,PRD001,3,39865,0,119595
DTL001041,ORD00271,PRD001,1,39865,0.1234821979831241,34942
DTL001042,ORD00271,PRD001,1,39865,0.22426553038797936,30924
DTL001049,ORD00273,PRD001,1,39865,0,39865
DTL001078,ORD00282,PRD001,3,39865,0,119595
DTL001141,ORD00295,PRD001,1,39865,0,39865
DTL001177,ORD00304,PRD001,3,39865,0,119595
DTL001187,ORD00306,PRD001,2,39865,0,79730
DTL001246,ORD00322,PRD001,2,39865,0,79730
DTL001260,ORD00324,PRD001,3,39865,0,119595
DTL001261,ORD00325,PRD001,2,39865,0,79730
DTL001265,ORD00325,PRD001,1,39865,0,39865
DTL001345,ORD00347,PRD001,1,39865,0,39865
DTL001350,ORD00349,PRD001,3,39865,0.02503598923452463,116600
DTL001357,ORD00351,PRD001,4,39865,0,159460
DTL001379,ORD00358,PRD001,3,39865,0,119595
DTL001384,ORD00358,PRD001,3,39865,0,119595
DTL001386,ORD00359,PRD001,1,39865,0,39865
DTL001388,ORD00359,PRD001,2,39865,0,79730
DTL001393,ORD00360,PRD001,1,39865,0,39865
DTL001478,ORD00384,PRD001,0,39865,0,0
DTL001492,ORD00388,PRD001,1,39865,0,39865
DTL001525,ORD00397,PRD001,2,39865,0.05815080441946113,75093
DTL001537,ORD00400,PRD001,2,39865,0.10082677959265982,71691
DTL001555,ORD00405,PRD001,1,39865,0.038030043734550295,38348
DTL001558,ORD00405,PRD001,1,39865,0,39865
DTL001587,ORD00415,PRD001,1,39865,0,39865
DTL001656,ORD00432,PRD001,1,39865,0,39865
DTL001722,ORD00447,PRD001,2,39865,0,79730
DTL001733,ORD00450,PRD001,5,39865,0,199325
DTL001753,ORD00454,PRD001,4,39865,0.028253908457336597,154954
DTL001755,ORD00455,PRD001,4,39865,0.018660197798096658,156484
DTL001778,ORD00461,PRD001,3,39865,0,119595
DTL001785,ORD00462,PRD001,5,39865,0.014872652909462726,196360
DTL001813,ORD00470,PRD001,1,39865,0,39865
DTL001844,ORD00477,PRD001,1,39865,0,39865
DTL001846,ORD00477,PRD001,4,39865,0,159460
DTL001861,ORD00481,PRD001,1,39865,0,39865
DTL001886,ORD00487,PRD001,2,39865,0,79730
DTL001900,ORD00491,PRD001,5,39865,0,199325
DTL001906,ORD00493,PRD001,1,39865,0,39865
DTL001929,ORD00500,PRD001,1,39865,0,39865
DTL001936,ORD00503,PRD001,3,39865,0,119595
DTL001956,ORD00508,PRD001,1,39865,0,39865
DTL001974,ORD00512,PRD001,2,39865,0,79730
DTL001990,ORD00517,PRD001,4,39865,0,159460
DTL002016,ORD00524,PRD001,2,39865,0.038030043734550295,76697
DTL002088,ORD00542,PRD001,2,39865,0,79730
DTL002140,ORD00557,PRD001,2,39865,0,79730
DTL002157,ORD00561,PRD001,1,39865,0.038030043734550295,38348
DTL002215,ORD00577,PRD001,2,39865,0.05815080441946113,75093
DTL002257,ORD00587,PRD001,1,39865,0,39865
DTL002300,ORD00597,PRD001,1,39865,0.0790670092903736,36712
DTL002305,ORD00598,PRD001,2,39865,0.10170870626525631,71620
DTL002324,ORD00604,PRD001,1,39865,0,39865
DTL002328,ORD00606,PRD001,1,39865,-0.15482272797646696,46037
DTL002346,ORD00610,PRD001,4,39865,0,159460
DTL002352,ORD00613,PRD001,1,39865,0,39865
DTL002356,ORD00614,PRD001,0,39865,0,0
DTL002382,ORD00621,PRD001,2,39865,0,79730
DTL002392,ORD00624,PRD001,1,39865,0,39865
DTL002403,ORD00626,PRD001,1,39865,0.1234821979831241,34942
DTL002410,ORD00628,PRD001,1,39865,0,39865
DTL002429,ORD00633,PRD001,1,39865,0.1234821979831241,34942
DTL002450,ORD00639,PRD001,1,39865,0,39865
DTL002469,ORD00643,PRD001,3,39865,0,119595
DTL002488,ORD00648,PRD001,1,39865,0,39865
DTL002500,ORD00651,PRD001,2,39865,0,79730
DTL002503,ORD00652,PRD001,1,39865,0.22426553038797936,30924
DTL002509,ORD00653,PRD001,1,39865,0.038030043734550295,38348
DTL002633,ORD00685,PRD001,5,39865,0,199325
DTL002635,ORD00686,PRD001,2,39865,0.05815080441946113,75093
DTL002648,ORD00689,PRD001,3,39865,0.038030043734550295,115046
DTL002660,ORD00692,PRD001,1,39865,0,39865
DTL002666,ORD00694,PRD001,0,39865,0,0
